FlowDataID,FlowReadingValue,FlowStationLocation,Region,StationName,Time
2482,1,"{'Description': 'Homeacres Rd', 'Direction': 'EB', 'Latitude': 47.978415632, 'Longitude': -122.174701738, 'MilePost': 0.68, 'RoadName': '002'}",Northwest,002es00068,/Date(1735940062000-0800)/
6563,1,"{'Description': 'Unknown', 'Direction': 'EB', 'Latitude': 47.978415631, 'Longitude': -122.174702954, 'MilePost': 0.68, 'RoadName': '002'}",Olympic,002es00068,/Date(1735940002000-0800)/
6564,1,"{'Description': 'Unknown', 'Direction': 'WB', 'Latitude': 47.978235694, 'Longitude': -122.176068787, 'MilePost': 0.68, 'RoadName': '002'}",Olympic,002es00068,/Date(1735940002000-0800)/
2483,1,"{'Description': 'Homeacres Rd', 'Direction': 'WB', 'Latitude': 47.978234798, 'Longitude': -122.175401812, 'MilePost': 0.68, 'RoadName': '002'}",Northwest,002es00068,/Date(1735940062000-0800)/
4828,1,"{'Description': 'Bickford Ave, WB', 'Direction': 'EB', 'Latitude': 47.963102466, 'Longitude': -122.124998645, 'MilePost': 3.6, 'RoadName': '002'}",Northwest,002es00360,/Date(1735940062000-0800)/
7622,1,"{'Description': 'Unknown', 'Direction': 'EB', 'Latitude': 47.963520889, 'Longitude': -122.125564152, 'MilePost': 3.6, 'RoadName': '002'}",Olympic,002es00360,/Date(1735940002000-0800)/
7621,1,"{'Description': 'Unknown', 'Direction': 'WB', 'Latitude': 47.962988754, 'Longitude': -122.12542422, 'MilePost': 3.6, 'RoadName': '002'}",Olympic,002es00360,/Date(1735940002000-0800)/
5238,1,"{'Description': 'Bickford Ave, WB', 'Direction': 'WB', 'Latitude': 47.962977627, 'Longitude': -122.125416439, 'MilePost': 3.6, 'RoadName': '002'}",Northwest,002es00360,/Date(1735940062000-0800)/
4829,1,"{'Description': 'Bickford Ave, EB', 'Direction': 'EB', 'Latitude': 47.957136963, 'Longitude': -122.118838359, 'MilePost': 4.11, 'RoadName': '002'}",Northwest,002es00411,/Date(1735940062000-0800)/
7623,1,"{'Description': 'Unknown', 'Direction': 'EB', 'Latitude': 47.957232791, 'Longitude': -122.118922112, 'MilePost': 4.11, 'RoadName': '002'}",Olympic,002es00411,/Date(1735940002000-0800)/
7624,1,"{'Description': 'Unknown', 'Direction': 'WB', 'Latitude': 47.957165056, 'Longitude': -122.118936112, 'MilePost': 4.11, 'RoadName': '002'}",Olympic,002es00411,/Date(1735940002000-0800)/
5235,1,"{'Description': 'Bickford Ave, EB', 'Direction': 'WB', 'Latitude': 47.957142818, 'Longitude': -122.118853008, 'MilePost': 4.11, 'RoadName': '002'}",Northwest,002es00411,/Date(1735940062000-0800)/
2413,1,"{'Description': 'SR 9 I/C', 'Direction': 'EB', 'Latitude': 47.951864915, 'Longitude': -122.101369618, 'MilePost': 5.04, 'RoadName': '002'}",Northwest,002es00504,/Date(1735940062000-0800)/
